Isolate ID,SRA accesion number,Publication,Population,Admixed,Country of isolation,Notes
4545-MICE_Venezuela,SRR6830881,"Teixeira et al. 2019, mBio",CB,False,Venezuela,highly similar to 4545_Venezuela and 4542 (4545_Venezuela and 4542_Venezuela dropped)
3796_Venezuela,SRR6830886,"Teixeira et al. 2019, mBio",CB,False,Venezuela,highly similar to 34698_Venezuela (34698_Venezuela dropped)
2566_Venezuela,SRR6830885,"Teixeira et al. 2019, mBio",CB,False,Venezuela,
JTORRES_Venezuela,SRR6830888,"Teixeira et al. 2019, mBio",CB,False,Venezuela,
3490_Mexico,SRR6830887,"Teixeira et al. 2019, mBio",CB,True,Mexico,highly similar to Tucson_24 (Tucson_24 dropped)
GT120_USA,SRR6830880,"Teixeira et al. 2019, mBio",CB,True,USA,
GT162_USA,SRR6830879,"Teixeira et al. 2019, mBio",AZ,False,USA,
730332_Guatemala,SRR3468076,"Engelthaler et al. 2016, mBio",CB,True,Guatemala,highly similar to 730333_Guatemala (730333_Guatemala dropped)
730334_Guatemala,SRR3468078,"Engelthaler et al. 2016, mBio",TXMXSA,False,Guatemala,
B0858_Guatemala,SRR3468067,"Engelthaler et al. 2016, mBio",CB,True,Guatemala,
B10757_Nevada,SRR3468068,"Engelthaler et al. 2016, mBio",AZ,False,USA,
B10813_Texas,SRR3468069,"Engelthaler et al. 2016, mBio",TXMXSA,True,USA,
B1249_Guatemala,SRR3468070,"Engelthaler et al. 2016, mBio",CB,True,Guatemala,
B5773_Brazil,SRR3468072,"Engelthaler et al. 2016, mBio",TXMXSA,False,Brazil,
Coahuila_2,SRR3468053,"Engelthaler et al. 2016, mBio",TXMXSA,False,Mexico,
Colorado_Springs_1,SRR3468050,"Engelthaler et al. 2016, mBio",AZ,False,USA,
GT002_Texas,SRR3468075,"Engelthaler et al. 2016, mBio",TXMXSA,False,USA,
GT017_Paraguay,SRR3468074,"Engelthaler et al. 2016, mBio",TXMXSA,True,Paraguay,
Michoacan_1,SRR3468066,"Engelthaler et al. 2016, mBio",TXMXSA,True,Mexico,
Nuevo_Leon_1,SRR3468064,"Engelthaler et al. 2016, mBio",TXMXSA,False,Mexico,
Nuevo_Leon_2,SRR3468065,"Engelthaler et al. 2016, mBio",TXMXSA,False,Mexico,
Phoenix_1,SRR3468054,"Engelthaler et al. 2016, mBio",AZ,False,USA,
Phoenix_2,SRR3468055,"Engelthaler et al. 2016, mBio",AZ,False,USA,
Phoenix_3,SRR3468056,"Engelthaler et al. 2016, mBio",AZ,False,USA,
Phoenix_4,SRR3468057,"Engelthaler et al. 2016, mBio",AZ,False,USA,
Phoenix_5,SRR3468058,"Engelthaler et al. 2016, mBio",AZ,False,USA,
Phoenix_6,SRR3468059,"Engelthaler et al. 2016, mBio",AZ,False,USA,
Phoenix_7,SRR3468061,"Engelthaler et al. 2016, mBio",AZ,False,USA,
Phoenix_8,SRR3468062,"Engelthaler et al. 2016, mBio",AZ,False,USA,
Phoenix_9,SRR3468063,"Engelthaler et al. 2016, mBio",AZ,False,USA,
San_Antonio_1,SRR3468048,"Engelthaler et al. 2016, mBio",TXMXSA,False,USA,
Sonora_1,SRR3468051,"Engelthaler et al. 2016, mBio",TXMXSA,False,Mexico,
Sonora_2,SRR3468052,"Engelthaler et al. 2016, mBio",CB,True,Mexico,
Tucson_10,SRR3468033,"Engelthaler et al. 2016, mBio",AZ,False,USA,
Tucson_11,SRR3468034,"Engelthaler et al. 2016, mBio",AZ,True,USA,
Tucson_12,SRR3468035,"Engelthaler et al. 2016, mBio",AZ,False,USA,
Tucson_13,SRR3468036,"Engelthaler et al. 2016, mBio",AZ,False,USA,
Tucson_14,SRR3468037,"Engelthaler et al. 2016, mBio",AZ,False,USA,
Tucson_15,SRR3468039,"Engelthaler et al. 2016, mBio",AZ,False,USA,
Tucson_16,SRR3468040,"Engelthaler et al. 2016, mBio",AZ,True,USA,
Tucson_17,SRR3468041,"Engelthaler et al. 2016, mBio",AZ,False,USA,
Tucson_18,SRR3468042,"Engelthaler et al. 2016, mBio",AZ,False,USA,
Tucson_19,SRR3468043,"Engelthaler et al. 2016, mBio",AZ,False,USA,
Tucson_20,SRR3468044,"Engelthaler et al. 2016, mBio",AZ,True,USA,
Tucson_21,SRR3468045,"Engelthaler et al. 2016, mBio",AZ,False,USA,
Tucson_22,SRR3468046,"Engelthaler et al. 2016, mBio",AZ,False,USA,
Tucson_23,SRR3468047,"Engelthaler et al. 2016, mBio",AZ,False,USA,
Tucson_9,SRR3468032,"Engelthaler et al. 2016, mBio",AZ,False,USA,
Tucson_8,SRR3468031,"Engelthaler et al. 2016, mBio",AZ,False,USA,
Tucson_7,SRR3468030,"Engelthaler et al. 2016, mBio",AZ,True,USA,
Tucson_6,SRR3468029,"Engelthaler et al. 2016, mBio",AZ,False,USA,
Tucson_5,SRR3468028,"Engelthaler et al. 2016, mBio",AZ,False,USA,
Tucson_3,SRR3468025,"Engelthaler et al. 2016, mBio",AZ,False,USA,highly similar to Tucson_4 (Tucson_4 dropped)
Tucson_2,SRR3468024,"Engelthaler et al. 2016, mBio",AZ,True,USA,
Tucson_1,SRR3468023,"Engelthaler et al. 2016, mBio",AZ,False,USA,
